owner_id,name,screen_name,members_count,is_gov,posts,likes_declared,comments_declared,views,likes_total,likes_from_subs,unique_likers,unique_sub_likers,comments_total,comments_from_subs,unique_commenters,size_bucket,segment,avg_likes_per_post,share_likes_from_subs,sub_like_reach
-13000317,<<<Акрамово>>>,club13000317,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-194283121,Вывод из запоя в Новочебоксарске • Нарколог,vyvod_iz_zapoya_novocheboksarsk,39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-220610063,МАКИЯЖ ВИЗАЖИСТ НОВОЧЕБОКСАРСК,anastasia.matrossova,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-62958969,Подслушано  Алатырь,podslushano_alatyr_2121,40660,0,2044.0,54565.0,15794.0,24537882.0,61414.0,57858.0,10337.0,8888.0,9409.0,8330.0,2051.0,20K–100K,Обычные,30.045988258317024,0.9420978929885694,0.21859321200196755
-218843107,"Реставрация ванн Новочебоксарск,Чебоксары,Ядрин.",restavraciya_vanna_novocheboksar,560,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-137440373,"Массаж, шугаринг в г. Новочебоксарске!",harmony_novchik,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-173487762,Сокол ЮХЛ (Новочебоксарск),sokoluxlnchk,146,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-215369885,LPG массаж Новочебоксарск | Чебоксары,lpg_nchkinna,36,0,3.0,9.0,0.0,2019.0,9.0,4.0,4.0,2.0,0.0,0.0,0.0,<100,Обычные,3.0,0.4444444444444444,0.05555555555555555
-213949543,Кроха Новочебоксарск,kroha_novocheboksarsk,131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-172944623,Don Kaliano l Новочебоксарск,don_kaliano_nchk,408,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-221923408,ПСИХОЛОГ НОВОЧЕБОКСАРСК,psiholog.novocheboksarsk,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-150235252,GeoCash | Новочебоксарск и окрестности,geocash.nchk,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-86774666,низкие машины Новочебоксарска,club86774666,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-17640521,Боксеры НовочеБОКСарска  (Элита),club17640521,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-168471749,Отбеливание зубов в Новочебоксарске Smile ROOM,smileroom.nchk,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-30116540,КАНЦТОВАРЫ НОВОЧЕБОКСАРСК,club30116540,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-76836610,в Новочебоксарске продажа котят ( классика перс),club76836610,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-129523468,Маникюр Новочебоксарск,club129523468,102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-92989002,Новочебоксарск б/у конные вещи,club92989002,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-52525033,Элюмена салон - Новочебоксарск,elumena,87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-30864688,Молодые родители Новочебоксарска и Чебоксар,club30864688,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
